file_date,Country_Region,continent_name,total_confirmed,population,kpi_comfirmed_100000,kpi_comfirmed_100
2021-02-05T00:00:00+01:00@Europe/Zurich,Denmark,Europe,201458,5792203,3478.0894246973044,3.4780894246973046
2021-02-05T00:00:00+01:00@Europe/Zurich,Kosovo,Europe,61688,1810366,3407.48776766687,3.40748776766687
2021-02-05T00:00:00+01:00@Europe/Zurich,Holy See,Europe,27,809,3337.453646477132,3.3374536464771323
2021-02-05T00:00:00+01:00@Europe/Zurich,Jordan,Asia,332990,10203140,3263.603165300094,3.2636031653000943
2021-02-05T00:00:00+01:00@Europe/Zurich,United Arab Emirates,Asia,320126,9890400,3236.7346113402896,3.2367346113402897
2021-02-05T00:00:00+01:00@Europe/Zurich,Bulgaria,Europe,223059,6948445,3210.200267829709,3.210200267829709
2021-02-05T00:00:00+01:00@Europe/Zurich,West Bank and Gaza,Asia,161559,5101416,3166.944236658998,3.166944236658998
2021-02-05T00:00:00+01:00@Europe/Zurich,Maldives,Asia,16547,540542,3061.186734795816,3.061186734795816
2021-02-05T00:00:00+01:00@Europe/Zurich,Belize,North America,12013,397621,3021.2186982075896,3.0212186982075897
2021-02-05T00:00:00+01:00@Europe/Zurich,Turkey,Asia,2516889,84339067,2984.250466038473,2.984250466038473
2021-02-05T00:00:00+01:00@Europe/Zurich,Ukraine,Europe,1280501,43733759,2927.946349180733,2.9279463491807327
2021-02-05T00:00:00+01:00@Europe/Zurich,Albania,Europe,83082,2877800,2886.997011606088,2.886997011606088
2021-02-05T00:00:00+01:00@Europe/Zurich,Germany,Europe,2276371,83783945,2716.953707539076,2.7169537075390755
2021-02-05T00:00:00+01:00@Europe/Zurich,Belarus,Europe,255172,9449321,2700.4268349016825,2.7004268349016822
2021-02-05T00:00:00+01:00@Europe/Zurich,Russia,Europe,3891274,145934460,2666.453146158899,2.666453146158899
2021-02-05T00:00:00+01:00@Europe/Zurich,Oman,Asia,135041,5106622,2644.429135346223,2.644429135346223
2021-02-05T00:00:00+01:00@Europe/Zurich,Cyprus,Europe,31512,1207361,2609.989887034615,2.609989887034615
