file_date,continent_name,total_deaths,total_population,kpi_comfirmed_100000,kpi_comfirmed_100
2021-01-28T00:00:00+01:00@Europe/Zurich,Asia,370006,4563925207,501.6439131141966,0.5016439131141966
2021-01-28T00:00:00+01:00@Europe/Zurich,Africa,88985,1338826591,262.6763632901283,0.2626763632901283
2021-01-28T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,75.08113969161421,0.07508113969161422
2021-01-27T00:00:00+01:00@Europe/Zurich,North America,624860,585100234,5012.41501810782,5.012415018107821
2021-01-27T00:00:00+01:00@Europe/Zurich,Europe,684396,750312325,3954.459098082921,3.9544590980829213
2021-01-27T00:00:00+01:00@Europe/Zurich,South America,407703,430457607,3607.1013143926157,3.6071013143926156
2021-01-27T00:00:00+01:00@Europe/Zurich,Asia,368644,4563925207,499.8272312835472,0.49982723128354717
2021-01-27T00:00:00+01:00@Europe/Zurich,Africa,87989,1338826591,261.12425787635107,0.2611242578763511
2021-01-27T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,75.05541335648641,0.07505541335648641
2021-01-26T00:00:00+01:00@Europe/Zurich,North America,619068,585100234,4981.332138725482,4.981332138725482
2021-01-26T00:00:00+01:00@Europe/Zurich,Europe,677861,750312325,3925.6163091816466,3.9256163091816467
2021-01-26T00:00:00+01:00@Europe/Zurich,South America,405695,430457607,3584.355288208439,3.5843552882084393
2021-01-26T00:00:00+01:00@Europe/Zurich,Asia,367374,4563925207,498.23949711365196,0.49823949711365195
2021-01-26T00:00:00+01:00@Europe/Zurich,Africa,86938,1338826591,259.56864192578615,0.25956864192578616
2021-01-26T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,75.02267074814193,0.07502267074814194
2021-01-25T00:00:00+01:00@Europe/Zurich,North America,612968,585100234,4951.529040065296,4.951529040065296
2021-01-25T00:00:00+01:00@Europe/Zurich,Europe,671312,750312325,3901.7491815824833,3.9017491815824834
2021-01-25T00:00:00+01:00@Europe/Zurich,South America,403239,430457607,3559.3258780533065,3.5593258780533064
2021-01-25T00:00:00+01:00@Europe/Zurich,Asia,366077,4563925207,496.6957382481049,0.49669573824810487
2021-01-25T00:00:00+01:00@Europe/Zurich,Africa,85955,1338826591,258.1795150496828,0.2581795150496828
2021-01-25T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,74.96186304693077,0.07496186304693078
2021-01-24T00:00:00+01:00@Europe/Zurich,North America,610138,585100234,4922.268241649686,4.922268241649686
2021-01-24T00:00:00+01:00@Europe/Zurich,Europe,666718,750312325,3875.830908148817,3.8758309081488167
2021-01-24T00:00:00+01:00@Europe/Zurich,South America,401849,430457607,3546.6932751870268,3.546693275187027
2021-01-24T00:00:00+01:00@Europe/Zurich,Asia,364954,4563925207,495.1184556079426,0.49511845560794265
2021-01-24T00:00:00+01:00@Europe/Zurich,Africa,85184,1338826591,256.93252756734347,0.25693252756734347
2021-01-24T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,74.95016925823631,0.07495016925823632
2021-01-23T00:00:00+01:00@Europe/Zurich,North America,607630,585100234,4896.295255968057,4.896295255968057
2021-01-23T00:00:00+01:00@Europe/Zurich,Europe,663574,750312325,3857.2213244664476,3.8572213244664475
2021-01-23T00:00:00+01:00@Europe/Zurich,South America,400249,430457607,3531.057356828172,3.531057356828172
2021-01-23T00:00:00+01:00@Europe/Zurich,Asia,364009,4563925207,493.6525902187073,0.49365259021870733
2021-01-23T00:00:00+01:00@Europe/Zurich,Africa,84537,1338826591,255.42971905313763,0.25542971905313766
2021-01-23T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,74.9057328611974,0.0749057328611974
2021-01-22T00:00:00+01:00@Europe/Zurich,North America,602595,585100234,4861.819453656209,4.861819453656209
2021-01-22T00:00:00+01:00@Europe/Zurich,Europe,659110,750312325,3834.6404612239307,3.834640461223931
2021-01-22T00:00:00+01:00@Europe/Zurich,South America,398300,430457607,3508.819162301388,3.5088191623013882
2021-01-22T00:00:00+01:00@Europe/Zurich,Asia,362961,4563925207,492.0493869083688,0.49204938690836875
2021-01-22T00:00:00+01:00@Europe/Zurich,Africa,83755,1338826591,253.39002248723637,0.25339002248723635
2021-01-22T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,74.84960267546401,0.07484960267546402
2021-01-21T00:00:00+01:00@Europe/Zurich,North America,597087,585100234,4823.549942384744,4.823549942384743
2021-01-21T00:00:00+01:00@Europe/Zurich,Europe,652867,750312325,3803.984693973939,3.8039846939739395
2021-01-21T00:00:00+01:00@Europe/Zurich,South America,396141,430457607,3484.991264192016,3.4849912641920158
2021-01-21T00:00:00+01:00@Europe/Zurich,Asia,361911,4563925207,490.39164720913004,0.49039164720913003
2021-01-21T00:00:00+01:00@Europe/Zurich,Africa,82781,1338826591,251.43465349651098,0.25143465349651095
2021-01-21T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,74.83790888676957,0.07483790888676956
2021-01-20T00:00:00+01:00@Europe/Zurich,North America,590805,585100234,4784.30008626522,4.78430008626522
2021-01-20T00:00:00+01:00@Europe/Zurich,Europe,646769,750312325,3773.985320046555,3.773985320046555
2021-01-20T00:00:00+01:00@Europe/Zurich,South America,394008,430457607,3462.397401656326,3.462397401656326
2021-01-20T00:00:00+01:00@Europe/Zurich,Asia,360663,4563925207,488.7189861435431,0.4887189861435431
2021-01-20T00:00:00+01:00@Europe/Zurich,Africa,81756,1338826591,249.35335333506234,0.2493533533350623
2021-01-20T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,75.00012838873869,0.07500012838873868
2021-01-19T00:00:00+01:00@Europe/Zurich,North America,584562,585100234,4747.390683832815,4.747390683832815
2021-01-19T00:00:00+01:00@Europe/Zurich,Europe,639876,750312325,3740.902030364489,3.740902030364489
2021-01-19T00:00:00+01:00@Europe/Zurich,South America,391703,430457607,3435.0562655987633,3.4350562655987633
2021-01-19T00:00:00+01:00@Europe/Zurich,Asia,359412,4563925207,486.92813733921474,0.48692813733921475
2021-01-19T00:00:00+01:00@Europe/Zurich,Africa,80834,1338826591,247.236798421193,0.24723679842119298
2021-01-19T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.97433339101251,0.07497433339101252
2021-01-18T00:00:00+01:00@Europe/Zurich,North America,579908,585100234,4711.737305509264,4.711737305509264
2021-01-18T00:00:00+01:00@Europe/Zurich,Europe,632054,750312325,3713.90020815665,3.71390020815665
2021-01-18T00:00:00+01:00@Europe/Zurich,South America,389718,430457607,3412.0605051823372,3.412060505182337
2021-01-18T00:00:00+01:00@Europe/Zurich,Asia,357973,4563925207,485.29024897317953,0.4852902489731795
2021-01-18T00:00:00+01:00@Europe/Zurich,Africa,79632,1338826591,245.48825233185107,0.24548825233185106
2021-01-18T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.94150339390647,0.07494150339390648
2021-01-17T00:00:00+01:00@Europe/Zurich,North America,577685,585100234,4683.649639422294,4.683649639422295
2021-01-17T00:00:00+01:00@Europe/Zurich,Europe,628176,750312325,3686.0024923620977,3.6860024923620975
2021-01-17T00:00:00+01:00@Europe/Zurich,South America,388320,430457607,3399.5438254620044,3.3995438254620045
2021-01-17T00:00:00+01:00@Europe/Zurich,Asia,356898,4563925207,483.8758524379122,0.4838758524379122
2021-01-17T00:00:00+01:00@Europe/Zurich,Africa,78907,1338826591,243.8094688246299,0.2438094688246299
2021-01-17T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.91805339597359,0.07491805339597359
2021-01-16T00:00:00+01:00@Europe/Zurich,North America,575233,585100234,4649.425417936169,4.649425417936168
2021-01-16T00:00:00+01:00@Europe/Zurich,Europe,624767,750312325,3662.4544318927456,3.6624544318927454
2021-01-16T00:00:00+01:00@Europe/Zurich,South America,387053,430457607,3383.148250415284,3.383148250415284
2021-01-16T00:00:00+01:00@Europe/Zurich,Asia,355925,4563925207,482.2285861793703,0.4822285861793703
2021-01-16T00:00:00+01:00@Europe/Zurich,Africa,78309,1338826591,241.8249698477941,0.2418249698477941
2021-01-16T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.87349839990112,0.07487349839990112
