file_date,continent_name,total_deaths,total_population,kpi_deaths_100000,kpi_deaths_100
2021-01-28T00:00:00+01:00@Europe/Zurich,Asia,370006,4563925207,8.107188072067808,0.008107188072067808
2021-01-28T00:00:00+01:00@Europe/Zurich,Africa,88985,1338826591,6.64649183084533,0.006646491830845329
2021-01-28T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,2.21012606325189,0.00221012606325189
2021-01-27T00:00:00+01:00@Europe/Zurich,North America,624860,585100234,106.79537687554574,0.10679537687554574
2021-01-27T00:00:00+01:00@Europe/Zurich,South America,407703,430457607,94.71385645648492,0.09471385645648492
2021-01-27T00:00:00+01:00@Europe/Zurich,Europe,684396,750312325,91.21481511049414,0.09121481511049415
2021-01-27T00:00:00+01:00@Europe/Zurich,Asia,368644,4563925207,8.077345339371158,0.008077345339371158
2021-01-27T00:00:00+01:00@Europe/Zurich,Africa,87989,1338826591,6.572098327855815,0.006572098327855815
2021-01-27T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,2.21012606325189,0.00221012606325189
2021-01-26T00:00:00+01:00@Europe/Zurich,North America,619068,585100234,105.80546101781256,0.10580546101781256
2021-01-26T00:00:00+01:00@Europe/Zurich,South America,405695,430457607,94.24737614173468,0.09424737614173467
2021-01-26T00:00:00+01:00@Europe/Zurich,Europe,677861,750312325,90.34384447836439,0.0903438444783644
2021-01-26T00:00:00+01:00@Europe/Zurich,Asia,367374,4563925207,8.04951841534418,0.00804951841534418
2021-01-26T00:00:00+01:00@Europe/Zurich,Africa,86938,1338826591,6.493596749902019,0.006493596749902019
2021-01-26T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,2.21012606325189,0.00221012606325189
2021-01-25T00:00:00+01:00@Europe/Zurich,North America,612968,585100234,104.76290460687117,0.10476290460687118
2021-01-25T00:00:00+01:00@Europe/Zurich,South America,403239,430457607,93.67682053763775,0.09367682053763775
2021-01-25T00:00:00+01:00@Europe/Zurich,Europe,671312,750312325,89.4710079565866,0.0894710079565866
2021-01-25T00:00:00+01:00@Europe/Zurich,Asia,366077,4563925207,8.021099895294581,0.008021099895294582
2021-01-25T00:00:00+01:00@Europe/Zurich,Africa,85955,1338826591,6.420174246449516,0.006420174246449516
2021-01-25T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,2.21012606325189,0.00221012606325189
2021-01-24T00:00:00+01:00@Europe/Zurich,North America,610138,585100234,104.27922679654918,0.10427922679654919
2021-01-24T00:00:00+01:00@Europe/Zurich,South America,401849,430457607,93.35390836756662,0.09335390836756662
