filedate,continent_name,total_population,total_confirmed,confirmed_per_100000,confirmed_per_100,increase_total_confirmed,increase_total_confirmed_percent,total_deaths,deaths_per_100000,deaths_per_100,increase_total_deaths,increase_total_deaths_percent
2021-02-03,South America,430457607,16110634,3742.68,3.74,99539,0.62,421384,97.89,0.10,2167,0.52
2021-02-02,South America,430457607,16011095,3719.55,3.72,85644,0.54,419217,97.39,0.10,1999,0.48
2021-02-01,South America,430457607,15925451,3699.66,3.70,47615,0.30,417218,96.92,0.10,1368,0.33
2021-01-31,South America,430457607,15877836,3688.59,3.69,54657,0.35,415850,96.61,0.10,1299,0.31
2021-01-30,South America,430457607,15823179,3675.90,3.68,99075,0.63,414551,96.30,0.10,2380,0.58
2021-01-29,South America,430457607,15724104,3652.88,3.65,95548,0.61,412171,95.75,0.10,2076,0.51
2021-01-28,South America,430457607,15628556,3630.68,3.63,101514,0.65,410095,95.27,0.10,2392,0.59
2021-01-27,South America,430457607,15527042,3607.10,3.61,97912,0.63,407703,94.71,0.09,2008,0.49
2021-01-26,South America,430457607,15429130,3584.36,3.58,107741,0.70,405695,94.25,0.09,2456,0.61
2021-01-25,South America,430457607,15321389,3559.33,3.56,54378,0.36,403239,93.68,0.09,1390,0.35
2021-01-24,South America,430457607,15267011,3546.69,3.55,67306,0.44,401849,93.35,0.09,1600,0.40
2021-01-23,South America,430457607,15199705,3531.06,3.53,95726,0.63,400249,92.98,0.09,1949,0.49
2021-01-22,South America,430457607,15103979,3508.82,3.51,102569,0.68,398300,92.53,0.09,2159,0.55
2021-01-21,South America,430457607,15001410,3484.99,3.48,97257,0.65,396141,92.03,0.09,2133,0.54
2021-01-20,South America,430457607,14904153,3462.40,3.46,117692,0.80,394008,91.53,0.09,2305,0.59
2021-01-19,South America,430457607,14786461,3435.06,3.44,98987,0.67,391703,91.00,0.09,1985,0.51
2021-01-18,South America,430457607,14687474,3412.06,3.41,53879,0.37,389718,90.54,0.09,1398,0.36
2021-01-17,South America,430457607,14633595,3399.54,3.40,70576,0.48,388320,90.21,0.09,1267,0.33
2021-01-16,South America,430457607,14563019,3383.15,3.38,103838,0.72,387053,89.92,0.09,1671,0.43
2021-01-15,South America,430457607,14459181,3359.03,3.36,129021,0.90,385382,89.53,0.09,2057,0.54
2021-01-14,South America,430457607,14330160,3329.05,3.33,109505,0.77,383325,89.05,0.09,1810,0.47
2021-01-13,South America,430457607,14220655,3303.61,3.30,101853,0.72,381515,88.63,0.09,1936,0.51
2021-01-12,South America,430457607,14118802,3279.95,3.28,102425,0.73,379579,88.18,0.09,1790,0.47
2021-01-11,South America,430457607,14016377,3256.16,3.26,66290,0.48,377789,87.76,0.09,1358,0.36
2021-01-10,South America,430457607,13950087,3240.76,3.24,61587,0.44,376431,87.45,0.09,990,0.26
2021-01-09,South America,430457607,13888500,3226.45,3.23,98686,0.72,375441,87.22,0.09,1795,0.48
2021-01-08,South America,430457607,13789814,3203.52,3.20,97114,0.71,373646,86.80,0.09,1727,0.46
2021-01-07,South America,430457607,13692700,3180.96,3.18,128346,0.95,371919,86.40,0.09,2175,0.59
2021-01-06,South America,430457607,13564354,3151.15,3.15,103776,0.77,369744,85.90,0.09,1966,0.53
2021-01-05,South America,430457607,13460578,3127.04,3.13,94346,0.71,367778,85.44,0.09,1667,0.46
2021-01-04,South America,430457607,13366232,3105.12,3.11,45506,0.34,366111,85.05,0.09,1029,0.28
2021-01-03,South America,430457607,13320726,3094.55,3.09,39702,0.30,365082,84.81,0.08,769,0.21
2021-01-02,South America,430457607,13281024,3085.33,3.09,39297,0.30,364313,84.63,0.08,750,0.21
2021-01-01,South America,430457607,13241727,3076.20,3.08,13241727,0.00,363563,84.46,0.08,363563,0.00
